offensedescription,offenserace,offensegender,offenseage,offensezip,offensestatus
RUNAWAY,Withheld,Withheld,Withheld,75253,Suspended
CRIMINAL MISCHIEF,W,F,58,75287,Suspended
ACC INV DMG VEHICLE  FLID,B,M,30,75134,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75211,Cleared by Arrest
BMV,B,M,59,78613,Suspended
ASSAULT FV STRANGULATION,Withheld,Withheld,Withheld,75237,Cleared by Exceptional Arrest
FOUND PROPERTY,W,M,62,75407,Suspended
THREATENING PHONE CALLS,B,F,53,75216,Cleared by Arrest
ASSAULT M/C,Withheld,Withheld,Withheld,75217,Suspended
UUMV (STOLEN/RECOVERED),L,M,38,75214,Suspended
BMV,L,M,34,75211,Suspended
BURGLARY OF A RESIDENCE,B,F,29,75237,Suspended
HARASSING PHONE CALLS,L,M,52,75211,Suspended
ACCIDENTAL OVERDOSE,B,M,47,75216,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75217,Administratively Closed
AGGRAVATED ASSAULT,B,F,26,75217,Cleared by Exceptional Arrest
BURGLARY,W,M,60,75217,Open
HARASSMENT,B,M,39,75243,Suspended
CRIMINAL MISCHIEF,L,M,44,75217,Suspended
ASSAULT M/C THREAT,Withheld,Withheld,Withheld,75232,Cleared by Exceptional Arrest
BMV       (PRIMARY),B,M,77,75216,Suspended
INJURED PERSON,B,M,26,75227,Suspended
INV OF CREDIT CARD ABUSE,W,F,36,75002,Suspended
INV OF HARASSMENT/THREATS PHNE,B,M,26,75214,Suspended
UNEXPLAIN DEATH/ACCIDENT/FALL,W,M,65,75248,Administratively Closed
INV THEFT,B,F,36,75216,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75241,Cleared by Arrest
ASSAULT FV M/A,Withheld,Withheld,Withheld,75253,Cleared by Arrest
AGG ASSAULT DW,W,M,45,76210,Unfounded
ASSAULT FV/MA,Withheld,Withheld,Withheld,75216,Cleared by Exceptional Arrest
BURGLARY,W,F,52,75067,Suspended
INDECENCY WITH A CHILD,Withheld,Withheld,Withheld,75227,Unfounded
THEFT,W,M,65,75204,Suspended
INVESTIGATION OF THEFT//THEFT,L,F,25,75234,Suspended
INVESTIGATION OF AGG ASSAULT,L,M,19,75208,Suspended
