offensedescription,offenserace,offensegender,offenseage,offensezip,offensestatus
ACC INV PERS INJ OR DEATH,W,M,55,75231,Cleared by Exceptional Arrest
CRIMINAL MISCHIEF,W,F,57,75218,Suspended
BURGLARY OF A MOTOR VEHICLE,W,M,27,78641,Suspended
RECKLESS DAMAGE,W,M,54,75227,Suspended
INV OF BURG OF RESIDENCE,W,F,50,75287,Suspended
AUTO ACC THEFT,W,F,27,75227,Suspended
ATTEMPT SEX ASSLT,Withheld,Withheld,Withheld,75224,Administratively Closed
INVESTIGATION OF THEFT,B,F,21,75228,Suspended
INV OF ROBERRY OF AN IND,W,M,28,75217,Suspended
BURGLARY OF A RESIDENCE,L,M,36,75212,Open
BURGLARY OF A RESIDENCE,L,M,27,75227,Suspended
INVEST OF ROBBERY,W,M,55,75228,Administratively Closed
LOST PROPERTY,W,F,51,75216,Suspended
BMV,L,F,22,75220,Suspended
BMV,B,M,23,75060,Suspended
ASSAULT FV MA,Withheld,Withheld,Withheld,75243,Open
HARRASSING PHONE CALL/TEXT,B,F,50,75243,Suspended
ANIMAL ATTACK,L,F,65,75220,Suspended
UUMV,L,M,52,75220,Suspended
LEAVING A CHILD IN A MV,Withheld,Withheld,Withheld,75237,Cleared by Exceptional Arrest
ASSAULT M/C,Withheld,Withheld,Withheld,75241,Cleared by Arrest
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75240,Cleared by Exceptional Arrest
ASAULT M/A,Withheld,Withheld,Withheld,75231,Cleared by Exceptional Arrest
ACCIDENT INVOLVING DAMAGED V,L,M,23,75216,Suspended
INVESTIGATION OF AGG ROBBERY,B,M,52,75216,Administratively Closed
INV OF THEFT,W,M,32,75231,Suspended
FLID,B,M,50,75154,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75219,Administratively Closed
DUTY ON STRIKING UNATTEN VEH,W,F,40,75252,Suspended
UUMV,W,M,47,75104,Suspended
AGGRAVATED ASSAULT F/V,B,F,31,75241,Cleared by Exceptional Arrest
CREDIT CARD FRAUD,W,F,60,75211,Suspended
INJURED PERSON,L,M,17,75203,Suspended
UNEXPLAINED DEATH,B,M,62,75216,Administratively Closed
ASSAULT M/A FAMILY VIOLENCE,Withheld,Withheld,Withheld,75227,Cleared by Exceptional Arrest
THEFT OF PERSON,B,F,54,75216,Suspended
UUMV,B,M,24,67226,Unfounded
INJURED PERSON,B,M,24,75236,Suspended
UUMV,L,M,74,75212,Suspended
ASSAULT FV ENHANCED,Withheld,Withheld,Withheld,75209,Suspended
INVESTIGATION OF BMV,B,F,27,75241,Suspended
RECKLESS DAMAGE,L,F,22,75217,Suspended
BMV,L,M,18,75224,Suspended
M/C ASSAULT,Withheld,Withheld,Withheld,75217,Suspended
BMV,W,F,31,75206,Suspended
BURGLARY OF RESIDENCE,W,F,30,75243,Suspended
ASSAULT STRANGULATION F/V,Withheld,Withheld,Withheld,75243,Cleared by Exceptional Arrest
INV OF AGG ROB DW,L,M,38,75229,Suspended
CRIMINAL MISCHIEF,L,M,23,75240,Suspended
THEFT OF AUTO ACCESSORIES,A,M,30,75204,Suspended
INTR W/CHILD CUSTODY,Withheld,Withheld,Withheld,75212,Unfounded
TERR THREAT//ASSAULT M/C,Withheld,Withheld,Withheld,75204,Cleared by Arrest
THEFT,B,F,78,75241,Suspended
CRIM. NEGLIGENT HOMICIDE,W,M,64,75287,Suspended
BURGLARY OF RESIDENCE,L,F,47,75220,Suspended
AGG SEXUAL ASSAULT,Withheld,Withheld,Withheld,75240,Suspended
UNEXPLAINED DEATH,W,M,59,75203,Suspended
BMV,B,M,69,75217,Suspended
CRIMINAL MISCHIEF,B,M,35,75232,Cleared by Exceptional Arrest
HARASSING PHONE CALLS,B,F,26,75228,Suspended
DEADLY CONDUCT,Withheld,Withheld,Withheld,75224,Cleared by Exceptional Arrest
INVESTIGATION OF UUMV,W,M,54,75153,Suspended
ASSAULT M/A / ASSAULT M/C,Withheld,Withheld,Withheld,75232,Cleared by Arrest
ACC INV DMG VEHICLE,L,M,35,75204,Suspended
CRIMINAL MISCHIEF,W,M,50,75230,Suspended
INVESTIGATION OF HARASSMENT,B,M,34,75224,Suspended
BMV,L,F,30,75240,Suspended
INVEST. OF ROBBERY,B,M,43,39208,Suspended
ACC INV DMG VEHICLE,B,F,27,75220,Suspended
BMV,L,M,45,75220,Suspended
INJURED PERSON,L,M,17,75211,Suspended
ASSAULT M/C FAM. VIOL.,Withheld,Withheld,Withheld,75217,Cleared by Arrest
DUTY ON STRIKE UNATTEND VEH/FL,B,M,26,75209,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75219,Suspended
INJURED PERSON,L,M,18,75211,Suspended
DUTY ON STRIKE UNATTEND VEH,A,M,58,76039,Suspended
UNEXPLAINED DEATH,W,M,52,75217,Administratively Closed
BMV,L,M,54,75050,Suspended
UUMV,W,M,44,75206,Unfounded
ASSAULT F/V M/C,Withheld,Withheld,Withheld,75203,Cleared by Exceptional Arrest
AGGRAVATED SEXUAL ASSAULT,Withheld,Withheld,Withheld,75220,Suspended
BMV,W,M,22,75206,Suspended
ASSAULT MA FV,Withheld,Withheld,Withheld,75228,Cleared by Arrest
INTERFERNCE W/ CHILD CUSTODY,Withheld,Withheld,Withheld,75227,Open
BURGLARY ASSAULT,Withheld,Withheld,Withheld,75227,Suspended
VIOLATION OF PROTECTIVE ORDE,Withheld,Withheld,Withheld,75240,Unfounded
BMV,B,F,57,75241,Suspended
PROTECTIVE CUSTODY,W,M,63,75093,Suspended
CRIMINAL MISCH,L,M,35,75227,Suspended
THEFT,B,M,47,75243,Suspended
THEFT,W,F,63,75248,Suspended
AGGRAVATED ROBBERY,Withheld,Withheld,Withheld,75237,Unfounded
BURGLARY OF MOTOR VEHICLE,L,M,37,75208,Suspended
BURG/RESIDENCE,B,M,37,75237,Suspended
BMV,L,F,29,75217,Suspended
ASSAULT F/V,Withheld,Withheld,Withheld,75287,Cleared by Exceptional Arrest
RUNAWAY,Withheld,Withheld,Withheld,75208,Administratively Closed
AGGRAVATED ROBBERY,L,F,59,75211,Suspended
STALKING,W,M,48,75202,Cleared by Arrest
TRAFFIC FATALITY # 40,B,M,47,75215,Open
ASSAULT F/V THREATS,Withheld,Withheld,Withheld,75240,Cleared by Arrest
THEFT M/A,W,M,48,75243,Cleared by Arrest
AGGRAVATED ROBBERY,L,M,43,75224,Suspended
BURGLARY OF A SHED,W,M,35,75253,Suspended
CRIMINAL MISCHEIF,L,F,25,75220,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75220,Administratively Closed
F/V ASSAULT F/3,Withheld,Withheld,Withheld,75154,Cleared by Arrest
INV OF AGG ASSAULT,B,M,51,75215,Suspended
INVESTIGATION OF THEFT,B,F,71,75216,Suspended
DUTY ON STRIKE UNATTEND VEH,W,F,33,75202,Suspended
THEFT (AUTO ACCESSORY),W,M,34,75423,Suspended
AGG ASSAULT W/MV,B,F,29,75216,Cleared by Arrest
ASSAULT M/A//ASSAULT MC,Withheld,Withheld,Withheld,75025,Cleared by Arrest
CRIMINAL MISCHIEF,B,F,41,75210,Suspended
INDECENCY WITH CHILD,Withheld,Withheld,Withheld,75210,Suspended
INV OF IDENTITY THEFT,L,M,39,75181,Suspended
BURGLARY OF A MOTOR VEHICLE,L,M,66,75203,Suspended
FV/AGG ASSAULT/VEHICLE,B,F,29,75241,Cleared by Exceptional Arrest
BURGLARY OF RESIDENCE,W,M,26,75243,Suspended
CRIMINAL MISCHIEF,L,F,38,75220,Suspended
ROBBERY (STRONGARM)//ASSAULT,B,F,30,75228,Suspended
ASSAULT (M/C),Withheld,Withheld,Withheld,75075,Cleared by Arrest
FOUND PROPERTY,L,M,36,75248,Suspended
INV OF THEFT,B,M,68,75216,Suspended
INVESTIGATION OF THEFT,L,M,42,75231,Suspended
LOST PROPERTY,B,F,51,75254,Suspended
INV OF IDENTITY THEFT,B,M,39,75115,Suspended
UUMV,W,F,32,75125,Suspended
INV OF HARASSMENT,W,M,23,75204,Suspended
BURG OF MOTOR VEHICLE,C,M,46,75324,Suspended
BURG OF RESIDENCE,L,F,45,75212,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75051,Suspended
UNEXPLAINED DEATH,W,F,41,75142,Administratively Closed
ASSAULT M/A FAMILY VIOLENCE,Withheld,Withheld,Withheld,75217,Cleared by Arrest
BURGLARY OF A MOTOR VEH,W,M,57,75231,Suspended
INVEST OF CRIMINAL MISCHIEF,L,F,28,75211,Suspended
FRAUD,L,F,40,75203,Suspended
INV OF INJURY TO A CHILD,Withheld,Withheld,Withheld,75238,Administratively Closed
ATTEMPT UUMV,B,M,35,75217,Suspended
BMV,W,F,48,75231,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75287,Suspended
DUTY ON STRIKE FIX OBJECT,W,F,30,75287,Suspended
UUMV,B,F,46,75253,Suspended
INV OF THEFT,A,M,36,60614,Suspended
THEFT,L,F,68,75220,Cleared by Arrest
UUMV,W,F,80,75228,Unfounded
M/C ASSAULT,Withheld,Withheld,Withheld,75210,Cleared by Arrest
ACC INV DAMAGE VEHICLE,B,F,59,75215,Suspended
B M V,W,M,46,75287,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75232,Suspended
U.U.M.V,L,M,30,75207,Suspended
INJURED PERSON,B,M,42,75216,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75216,Cleared by Arrest
INV OF IDENTITY THEFT,W,F,67,77375,Suspended
STALKING/FV,W,F,24,75252,Unfounded
ASSAULT M/A,Withheld,Withheld,Withheld,75215,Cleared by Exceptional Arrest
ASSAULT M/C,Withheld,Withheld,Withheld,75211,Cleared by Arrest
INVEST OF THEFT,W,F,26,75028,Suspended
BMV,L,M,29,75253,Suspended
INJURED PERSON,B,M,53,75228,Suspended
INVESTIGATION OF UUMV,L,F,26,75217,Suspended
UNEXPL DEATH NATURAL DEATH,B,M,48,75227,Administratively Closed
INVEST. OF FRAUD,C,M,54,75243,Suspended
BURGLARY,C,M,33,75231,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75103,Cleared by Exceptional Arrest
BMV,W,F,59,75214,Suspended
ROBBERY,B,F,23,75215,Suspended
BMV         (PRIMARY),B,F,33,75237,Suspended
BURGLARY OF RESIDENCE,A,F,34,75204,Suspended
BURGLARY RESD (CRIM TRESPASS),W,M,48,75214,Cleared by Exceptional Arrest
BMV,B,M,26,75243,Suspended
CRIMINAL MISCHIEF,B,M,67,75216,Suspended
CRIMINAL MISCHIEF,W,M,25,76063,Suspended
ASSAULT FAMILY VIOLENCE,Withheld,Withheld,Withheld,75228,Suspended
INV OF THEFT,W,M,61,75241,Suspended
NATURAL DEATH,W,F,72,75022,Suspended
INVESTIGATION OF THEFT,B,F,60,75204,Suspended
ACC INV DMG VEHICLE,L,M,58,75052,Suspended
BURGLARY OF RESIDENCE,W,M,69,75208,Suspended
INDECENCY WITH CHILD,Withheld,Withheld,Withheld,75228,Suspended
BMV,L,F,43,75240,Suspended
ROBBERY,L,M,49,75220,Suspended
BURGLARY OF MOTOR VEHICLE,B,F,36,75219,Suspended
UUMV,L,M,61,75227,Suspended
B.M.V. (PRIMARY),W,F,33,75226,Suspended
BMV,L,M,50,75238,Suspended
UUMV,L,M,49,75226,Suspended
AGG ROBBERY,L,M,34,75217,Suspended
CRIMINAL MISCHIEF,B,F,72,75249,Suspended
CRIMINAL MISCHIEF,L,M,48,75217,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75210,Administratively Closed
UUMV,L,M,44,75234,Suspended
BURG OF RESIDENCE,W,F,52,75243,Suspended
BURG RES,L,M,31,75227,Suspended
DUTY ON STRIKE UNATTEND VEHICL,W,M,29,75206,Suspended
CRIM MISCHIEF,L,F,43,75211,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75238,Open
AUTO ACCESSORY THEFT,W,M,56,75235,Suspended
AGG ASLT W/DEADLY WEAPON,B,M,24,75241,Suspended
INV. OF THEFT (AUTO BODY PAR,B,F,48,75024,Suspended
BURGLARY OF MOTOR VEHICLE,W,M,30,75204,Suspended
BURGLARY OF A BUSINESS,W,F,41,75219,Suspended
AGG ASSAULT,B,F,32,75216,Cleared by Exceptional Arrest
BURGLARY OF A HABITATION,L,F,44,75240,Suspended
FOUND PROPERTY,U,M,35,75208,Suspended
ASSAULT F.V. M/C,Withheld,Withheld,Withheld,75224,Cleared by Arrest
HARRASSMENT,B,F,25,75287,Suspended
INJURED PERSON,Withheld,Withheld,Withheld,75241,Suspended
ASSAULT M/A FV,Withheld,Withheld,Withheld,75237,Cleared by Exceptional Arrest
CRIMINAL MISCHIEF,B,F,27,75224,Suspended
LOST PROPERTY,B,F,25,75287,Suspended
AGG ROBBERY,L,M,46,75230,Cleared by Arrest
INV OF THEFT,C,F,33,75070,Suspended
INJURED PERSON,L,M,17,75220,Suspended
INDECENCY W/ CHILD/SEX CONTA,Withheld,Withheld,Withheld,75006,Unfounded
INVESTIGATION OF BURGLARY,L,M,36,75220,Suspended
UUMV,L,F,20,75228,Cleared by Arrest
BURGLARY,L,M,37,75217,Suspended
INVESTIGATION OF RES. BURG,B,M,19,75098,Suspended
INV OF BURGLARY OF RESIDENCE,B,F,64,75233,Suspended
BMV,B,F,56,75216,Suspended
ACC INV DMG VEHICLE,B,M,41,75232,Open
CRIMINAL MISCHIEF,B,F,23,75227,Suspended
WANT TO LOCATE,L,M,23,75211,Administratively Closed
ASSAULT,B,F,29,75217,Suspended
ASSAULT M/A FV,Withheld,Withheld,Withheld,75203,Cleared by Exceptional Arrest
ACC INV PERS INJURY OR DEATH,L,F,18,75235,Suspended
INJURY TO A CHILD,Withheld,Withheld,Withheld,75216,Cleared by Exceptional Arrest
ROBBERY,Withheld,Withheld,Withheld,75228,Suspended
THEFT,L,F,45,75227,Suspended
CRIMINAL MISCHIEF,A,F,26,75287,Suspended
BURGLARY OF BUILDING,B,F,89,75215,Suspended
BMV,B,F,31,75228,Suspended
UUMV,B,M,52,75216,Suspended
INV OF BURGLARY OF HAB,B,F,52,75220,Suspended
BMV,W,F,54,75223,Suspended
ACC INV DMG VEHICLE,W,M,33,75068,Suspended
UUMV//RECOVERED,W,F,24,75238,Suspended
BURG OF RESIDENCE,B,F,33,75237,Suspended
THEFT,B,F,36,75235,Suspended
AGG ASSAULT FV,B,F,30,75216,Suspended
NATURAL DEATH,B,M,75,75229,Administratively Closed
AGG ASSAULT F/V,W,F,51,75224,Cleared by Arrest
TERRORISTIC THREAT,L,M,40,75211,Cleared by Arrest
ASSAULT M/A,Withheld,Withheld,Withheld,75215,Cleared by Arrest
UUMV,L,M,41,75149,Suspended
BURGLARY,W,M,20,75240,Suspended
THEFT,W,M,41,75202,Suspended
INV OF BMV//BMV,L,F,38,75235,Suspended
CRIMINAL MISCHIEF,L,M,26,75228,Suspended
ASSAULT FV M/A,Withheld,Withheld,Withheld,75216,Cleared by Arrest
ASSAULT M/A (FV),Withheld,Withheld,Withheld,75220,Cleared by Arrest
INVESTIGATION OF BURGLARY,B,M,20,75234,Suspended
FOUND PROPERTY,W,F,31,75201,Suspended
CRIMINAL MISCHIEF,B,M,31,75248,Suspended
WANT TO LOCATE,W,F,67,75230,Administratively Closed
INV OF THEFT,W,F,69,75240,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75062,Suspended
SEXUAL ASSAULT,Withheld,Withheld,Withheld,75215,Suspended
ASSAULT M/A F/V,Withheld,Withheld,Withheld,75231,Cleared by Arrest
ASSAULT M/C,Withheld,Withheld,Withheld,75216,Suspended
UUMV  STOLEN/RECOVERED,L,F,35,75204,Suspended
AGGRAVATED ASSAULT,Withheld,Withheld,Withheld,75217,Cleared by Exceptional Arrest
THEFT (AUTO ACCESSORY),W,M,58,75218,Suspended
DUTY ON STRIKE UNATTENDED VEH,L,F,34,75220,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75217,Administratively Closed
THEFT,W,F,60,75243,Suspended
INVEST OF IDENTITY THEFT,B,M,34,75217,Suspended
INJURED PERSON,W,M,27,75084,Suspended
BURGLARY/BUILDING,W,M,51,75150,Suspended
THEFT,B,F,23,75237,Suspended
ACC INV DMG VEH/FLID,W,M,25,75253,Suspended
AGG KIDNAPPING,Withheld,Withheld,Withheld,75231,Open
ASSAULT,Withheld,Withheld,Withheld,75248,Suspended
DUTY ON STRIKE UNATTEND VEH,L,M,24,75232,Suspended
UUMV,L,M,55,75044,Suspended
BURGLARY OF A HABITATION,B,F,20,75237,Suspended
BMV,W,F,53,75227,Suspended
UNEXPLAINED DEATH,B,M,39,75220,Open
INV OF BURGLARY,L,M,42,75224,Suspended
ACC INV DMG VEH,L,M,22,75287,Open
ATTEMPT UUMV,L,F,39,75204,Suspended
INV OF THEFT,L,M,42,76642,Suspended
ASSAULT M/A F/V,Withheld,Withheld,Withheld,75217,Cleared by Arrest
RUNAWAY,Withheld,Withheld,Withheld,75216,Administratively Closed
DUTY ON STRIKE UNATTENDED VEH,W,M,32,75229,Suspended
THEFT//BMV,L,M,52,60056,Suspended
DEADLY CONDUCT,L,M,24,75211,Suspended
BMV     (PRIMARY),W,M,33,75214,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75232,Suspended
LOST PROPERTY,B,F,34,75243,Suspended
ACC INV DMG VEH,L,F,31,75159,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75231,Administratively Closed
BMV,W,M,56,75167,Suspended
THEFT,B,F,63,75049,Cleared by Exceptional Arrest
BURGLARY OF HABITATION,L,M,46,75217,Open
CRIMINAL MISCHIEF,B,M,50,75302,Suspended
UUMV,B,F,40,75216,Suspended
HARASSING PHONE CALLS,L,F,84,75217,Suspended
ASSAULT M/A FV,Withheld,Withheld,Withheld,75211,Cleared by Arrest
ASSAULT M/A,Withheld,Withheld,Withheld,75243,Suspended
DUTY ON STRIKE PARKED VEH/FLID,W,M,31,75061,Suspended
BURGLARY,B,M,70,75227,Suspended
CRIMINAL MISCHIEF,L,M,29,75216,Suspended
RECKLESS DAMAGE,W,F,43,78717,Suspended
THEFT FROM PERSON,L,M,24,75234,Suspended
UNEXPL DEATH NATURAL DEATH,W,M,57,75224,Administratively Closed
AGG ROBBERY,L,M,40,75219,Suspended
UUMV,B,F,59,75237,Cleared by Exceptional Arrest
CRIMINAL MISCHIEF,B,M,39,75165,Cleared by Exceptional Arrest
BMV,L,M,57,75229,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75243,Administratively Closed
ASSAULT M/C,Withheld,Withheld,Withheld,75243,Suspended
BMV,B,M,44,75243,Open
ASSAULT MA STRANGULATION,Withheld,Withheld,Withheld,75237,Cleared by Exceptional Arrest
CRIMINAL MISCHIEF,B,M,55,75241,Suspended
BURGLARY,B,F,25,75228,Suspended
AGG ASSLT F/V,W,F,31,75220,Cleared by Arrest
UUMV,B,M,21,75216,Suspended
INVESTIGATION OF ASSAULT,L,M,32,75287,Suspended
RESIDENTIAL BURGLARY,B,F,44,75215,Suspended
LOST PROPERTY,B,F,19,75233,Suspended
CRIMINAL MISCHIEF,L,M,59,75067,Suspended
ASSAULT F/V MA,Withheld,Withheld,Withheld,75204,Cleared by Exceptional Arrest
THEFT,W,M,47,75019,Open
BURGLARY OF RESIDENCE,W,F,72,75228,Suspended
RECKLESS DAMAGE,L,M,23,75287,Cleared by Exceptional Arrest
THEFT (AUTO ACCESSORY),B,F,42,75203,Suspended
THREATENING PHONE CALL,B,F,40,75252,Unfounded
BMV,B,M,24,75219,Suspended
CRIMINAL MISCHIEF,L,M,43,75224,Suspended
BMV,W,F,61,75243,Suspended
BURGLARY OF RESIDENCE,W,M,38,75225,Suspended
ASSAULT FV STRANGULATION,Withheld,Withheld,Withheld,75241,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75217,Cleared by Exceptional Arrest
AGG SEXUAL ASSAULT OF A CHILD,Withheld,Withheld,Withheld,75216,Suspended
BMV,L,M,32,76021,Suspended
ASSAULT M/A F/V,Withheld,Withheld,Withheld,75252,Cleared by Arrest
CRIMINAL MISCHIEF,B,M,39,75217,Suspended
BURG OF HAB,B,M,39,75236,Suspended
CRIMINAL MISCHIEF,B,F,29,75243,Suspended
DEADLY CONDUCT\TERRORIST THRT,Withheld,Withheld,Withheld,75215,Cleared by Arrest
ASSAULT M/A,Withheld,Withheld,Withheld,75224,Suspended
UUMV,L,M,25,75253,Cleared by Exceptional Arrest
THEFT,B,M,50,75216,Suspended
ASSAULT BY THREAT M/C,Withheld,Withheld,Withheld,75211,Suspended
BURGLARY OF RESIDENCE,B,M,41,75254,Suspended
IDENTITY THEFT,L,F,36,75234,Suspended
BURGLARY OF A HABITATION,B,M,54,75224,Suspended
UUMV,L,M,26,75243,Suspended
BURGLARY,W,M,36,75243,Suspended
UUMV,B,M,30,75240,Suspended
UUMV,W,M,69,75228,Suspended
ACC INV DMG VEH,W,M,31,75081,Suspended
BMV,W,M,90,75230,Suspended
INJURED PERSON,L,M,41,75217,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75237,Suspended
THEFT,L,M,40,75211,Suspended
DEADLY CONDUCT,Withheld,Withheld,Withheld,75211,Cleared by Arrest
CRIMINAL MISCHIEF,L,M,32,75220,Suspended
INVEST OF STALKING,B,F,58,75243,Unfounded
ASSAULT THREAT FV M/C,Withheld,Withheld,Withheld,75142,Cleared by Arrest
FORGERY (PRESCRIPTION),W,M,65,76053,Suspended
AUTO ACC.THEFT,W,F,75,75228,Suspended
AUTO ACC THEFT,L,M,19,75089,Suspended
CRIMINAL MISCHIEF,B,F,29,75210,Suspended
ASSAULT CAUSING BODILY INJURY,Withheld,Withheld,Withheld,75208,Suspended
BURGLARY OF MOTOR VEHICLE,L,M,35,75243,Suspended
THEFT,W,F,27,48074,Suspended
INJURED PERSON,L,F,24,75211,Suspended
INVESTIGATION OF UUMV,W,M,52,75230,Suspended
BMV,W,M,54,75225,Open
LOST PROPERTY // BMV,W,F,44,92109,Suspended
ROBBERY,W,F,24,75243,Suspended
ASSAULT FAMILY VIOLENCE M/A,Withheld,Withheld,Withheld,75233,Cleared by Arrest
ASSAULT (FV) M/C,Withheld,Withheld,Withheld,75227,Cleared by Arrest
UUMV,L,F,56,75210,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75241,Cleared by Exceptional Arrest
CRIMINAL MISCHIEF,W,F,30,75219,Suspended
BURGLARY OF STORAGE CLOSET,L,F,19,75217,Unfounded
ASSAULT F/V,Withheld,Withheld,Withheld,75203,Cleared by Arrest
BURGLARY OF RESIDENCE,W,M,44,75231,Cleared by Exceptional Arrest
UNEXPLAINED DEATH,B,M,63,75217,Suspended
INV OF BURGLARY OF VEH,W,M,37,75229,Suspended
AGG ROBBERY (NO CODE),W,F,29,75206,Open
THEFT(AUTO ACCESSORY)(PRIMARY),L,F,43,78258,Suspended
BURGLARY,B,F,48,75217,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75212,Administratively Closed
CRIMINAL MISCHEIF,B,M,75,75232,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75211,Administratively Closed
BURGLARY OF A RESIDENCE,B,M,44,75227,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75243,Suspended
CRIMINAL MISCHIEF,L,M,34,75220,Suspended
BMV,L,F,33,75217,Suspended
BURGLARY OF RESIDENCE,W,F,25,75206,Suspended
INTERFERENCE W/CHILD CUSTODY,Withheld,Withheld,Withheld,75246,Open
UUMV,W,M,59,75227,Suspended
WANT TO LOCATE,W,F,68,75238,Administratively Closed
INV OF AN AGG ASSAULT,B,M,53,75216,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75203,Administratively Closed
AGG SEX ASLT CHILD,Withheld,Withheld,Withheld,75217,Suspended
BURGLARY OF A MOTOR VEHICLE,W,F,22,75202,Suspended
LOST PROPERTY,L,F,40,75062,Suspended
TERRORISTIC THREAT,W,M,53,75217,Suspended
BURGLARY,W,F,37,75230,Suspended
BURGLARY ASSAULT,Withheld,Withheld,Withheld,75234,Cleared by Exceptional Arrest
AGG ROBBERY W/DEADLY WEAPON,W,F,60,75230,Suspended
BMV,L,M,41,79764,Suspended
FOUND PROPERTY,W,F,27,73013,Suspended
INVEST OF FORGERY,W,F,66,75287,Suspended
ASSAULT FV THREAT,Withheld,Withheld,Withheld,75216,Cleared by Arrest
BMV,B,F,39,75115,Suspended
INJURED PERSON,B,F,51,75216,Suspended
UUMV,L,F,62,75236,Suspended
RUNAWAY (MISSING PERSON),Withheld,Withheld,Withheld,75220,Administratively Closed
ASSAULT M/C,Withheld,Withheld,Withheld,75203,Cleared by Arrest
ASSAULT M/A,Withheld,Withheld,Withheld,75241,Cleared by Arrest
BMV,B,F,18,75115,Suspended
BURGLARY OF A MOTOR VEHICLE,W,F,33,75206,Suspended
BURGLARY OF RESIDENCE,B,F,26,71801,Suspended
ACC INV DAMAGE VEHICLE,W,M,55,75041,Suspended
UUMV,L,M,26,75233,Suspended
ACC INV DMG VEHICLE,L,F,42,75227,Suspended
VERBAL THREATS,Withheld,Withheld,Withheld,75243,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75237,Cleared by Arrest
INTERFERENCE W/CHILD CUSTODY,Withheld,Withheld,Withheld,75211,Cleared by Exceptional Arrest
SICK PERSON,A,M,38,75216,Suspended
INVESTIGATION OF THEFT,L,M,40,75006,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75227,Suspended
DUTY ON STRIKE UNATTEND VEH,B,M,56,75249,Open
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75243,Cleared by Exceptional Arrest
ASSAULT/BI FV,Withheld,Withheld,Withheld,75203,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75287,Administratively Closed
ASSAULT M/C (FV),Withheld,Withheld,Withheld,75211,Cleared by Arrest
CRIMINAL MISCHIEF,B,F,35,75211,Suspended
INV OF UUMV\UUMV,B,M,63,77477,Cleared by Exceptional Arrest
AGGRAVATED ASSAULT,B,M,38,75149,Suspended
INV OF IDENTITY THEFT,W,M,57,75218,Suspended
ASSAULT F/V STRANGULATION,Withheld,Withheld,Withheld,75253,Cleared by Exceptional Arrest
ASSAULT FV W/PREVIOUS CONVIC,Withheld,Withheld,Withheld,75214,Open
TERRORISTIC THREAT,B,M,59,75250,Suspended
AGG ROBBERY,B,M,66,75210,Suspended
ASSAULT F/V  M/A,Withheld,Withheld,Withheld,75287,Cleared by Exceptional Arrest
THEFT,A,F,41,75202,Suspended
ASSAULT  M/A,Withheld,Withheld,Withheld,75216,Cleared by Exceptional Arrest
BMV,B,M,28,75243,Suspended
UNEXPLAINED DEALTH,W,F,77,75240,Open
THEFT,W,M,33,75207,Suspended
AGG ASSAULT,W,M,25,75228,Open
RECKLESS DAMAGE,B,M,39,33441,Open
RUNAWAY,Withheld,Withheld,Withheld,75228,Administratively Closed
ASSAULT FV M/C,Withheld,Withheld,Withheld,75217,Cleared by Arrest
BURGLARY OF A RESIDENCE,L,F,50,75231,Suspended
RETALIATION/OBSTRUCTION,B,M,25,75238,Suspended
BURGLARY/RESIDENCE,L,F,30,75223,Suspended
BURGLARY OF HABITATION,L,M,33,75236,Suspended
ROBBERY,L,M,21,75220,Open
WANT TO LOCATE,A,M,54,75208,Administratively Closed
ASSAULT M/A FV/ ASSUALT MC FV,Withheld,Withheld,Withheld,75224,Cleared by Arrest
ASSAULT  M/A F/V,Withheld,Withheld,Withheld,75233,Cleared by Arrest
ACCI INV DMG VEHICLE FLID,B,M,56,75241,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75224,Administratively Closed
AGG ASSAULT,Withheld,Withheld,Withheld,75231,Suspended
BMV,L,M,52,75210,Suspended
INVEST DEBIT CARD ABUSE,B,F,46,75216,Suspended
INJURED PERSON,B,M,49,75218,Suspended
ACC INV DMG VEH,W,F,30,75028,Suspended
